[ 2025-12-16 06:49:34 | node_46 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 06:49:34 | node_47 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 06:49:34 | node_46 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 06:49:34 | node_47 | INFO ] 🎉 Round 61 of 100 finished.
[ 2025-12-16 06:49:34 | node_46 | INFO ] 🎉 Round 61 of 100 finished.
[ 2025-12-16 06:49:34 | node_47 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 06:49:34 | node_46 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 06:49:34 | node_3 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 06:49:34 | node_3 | INFO ] 🎉 Round 61 of 100 finished.
[ 2025-12-16 06:49:34 | node_3 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 06:49:34 | node_6 | INFO ] 📤 Sending model to 1 direct neighbors: ['node_5']
[ 2025-12-16 06:49:34 | node_5 | INFO ] 🧩 Model added (3/3) from ['node_6']
[ 2025-12-16 06:49:34 | node_5 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 06:49:34 | node_6 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 06:49:34 | node_5 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 06:49:34 | node_6 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 06:49:34 | node_6 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 06:49:34 | node_6 | INFO ] 🎉 Round 61 of 100 finished.
[ 2025-12-16 06:49:34 | node_6 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 06:49:35 | node_4 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 06:49:35 | node_4 | INFO ] 🎉 Round 61 of 100 finished.
[ 2025-12-16 06:49:35 | node_4 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 06:49:35 | node_48 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 06:49:35 | node_48 | INFO ] 🎉 Round 61 of 100 finished.
[ 2025-12-16 06:49:35 | node_48 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 06:49:35 | node_5 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 06:49:35 | node_5 | INFO ] 🎉 Round 61 of 100 finished.
[ 2025-12-16 06:49:35 | node_5 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 06:49:37 | node_2 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 06:49:37 | node_2 | INFO ] 🚂 Train set of 11 nodes: ['node_46', 'node_48', 'node_3', 'node_5', 'node', 'node_6', 'node_2', 'node_1', 'node_47', 'node_4', 'node_49']
[ 2025-12-16 06:49:37 | node_2 | INFO ] 🔬 Evaluating...
[ 2025-12-16 06:49:37 | node_2 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.8785592913627625, 'test_acc\n': 0.9599999785423279, 'test_precision\n': 0.9548190236091614, 'test_recall\n': 0.9626666307449341, 'test_f1\n': 0.9544112682342529}
[ 2025-12-16 06:49:37 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 06:49:37 | node_2 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 06:49:37 | node_1 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 06:49:37 | node_1 | INFO ] 🚂 Train set of 11 nodes: ['node_46', 'node_48', 'node_3', 'node_5', 'node', 'node_6', 'node_2', 'node_1', 'node_47', 'node_4', 'node_49']
[ 2025-12-16 06:49:37 | node_1 | INFO ] 🔬 Evaluating...
[ 2025-12-16 06:49:37 | node_3 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 06:49:37 | node_3 | INFO ] 🚂 Train set of 11 nodes: ['node_46', 'node_48', 'node_3', 'node_5', 'node', 'node_6', 'node_2', 'node_1', 'node_47', 'node_4', 'node_49']
[ 2025-12-16 06:49:37 | node_3 | INFO ] 🔬 Evaluating...
[ 2025-12-16 06:49:37 | node_2 | INFO ] 🎓 Training done.
[ 2025-12-16 06:49:37 | node_2 | INFO ] 🧩 Model added (1/3) from ['node_2']
[ 2025-12-16 06:49:37 | node_1 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.833882212638855, 'test_acc\n': 0.9599999785423279, 'test_precision\n': 0.9615186452865601, 'test_recall\n': 0.9613075256347656, 'test_f1\n': 0.9594587683677673}
[ 2025-12-16 06:49:37 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 06:49:37 | node_1 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 06:49:37 | node_3 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.5927119255065918, 'test_acc\n': 0.9449999928474426, 'test_precision\n': 0.949683666229248, 'test_recall\n': 0.9506686329841614, 'test_f1\n': 0.9482427835464478}
[ 2025-12-16 06:49:37 | node_3 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 06:49:37 | node_3 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 06:49:37 | node_1 | INFO ] 🎓 Training done.
[ 2025-12-16 06:49:37 | node_1 | INFO ] 🧩 Model added (1/3) from ['node_1']
[ 2025-12-16 06:49:38 | node_3 | INFO ] 🎓 Training done.
[ 2025-12-16 06:49:38 | node_3 | INFO ] 🧩 Model added (1/3) from ['node_3']
[ 2025-12-16 06:49:38 | node | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 06:49:38 | node | INFO ] 🚂 Train set of 11 nodes: ['node_46', 'node_48', 'node_3', 'node_5', 'node', 'node_6', 'node_2', 'node_1', 'node_47', 'node_4', 'node_49']
[ 2025-12-16 06:49:38 | node | INFO ] 🔬 Evaluating...
[ 2025-12-16 06:49:38 | node_49 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 06:49:38 | node_49 | INFO ] 🚂 Train set of 11 nodes: ['node_46', 'node_48', 'node_3', 'node_5', 'node', 'node_6', 'node_2', 'node_1', 'node_47', 'node_4', 'node_49']
[ 2025-12-16 06:49:38 | node_49 | INFO ] 🔬 Evaluating...
[ 2025-12-16 06:49:38 | node | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.34378620982170105, 'test_acc\n': 0.9700000286102295, 'test_precision\n': 0.9680395722389221, 'test_recall\n': 0.9713316559791565, 'test_f1\n': 0.9674628973007202}
[ 2025-12-16 06:49:38 | node | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 06:49:38 | node | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 06:49:38 | node | INFO ] 🎓 Training done.
[ 2025-12-16 06:49:38 | node | INFO ] 🧩 Model added (1/3) from ['node']
[ 2025-12-16 06:49:38 | node_49 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.9475279450416565, 'test_acc\n': 0.9350000023841858, 'test_precision\n': 0.9341011047363281, 'test_recall\n': 0.9283564686775208, 'test_f1\n': 0.9219068884849548}
[ 2025-12-16 06:49:38 | node_49 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 06:49:38 | node_49 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 06:49:39 | node_49 | INFO ] 🎓 Training done.
