[ 2025-12-19 01:22:28 | node_21 | ERROR ] Models ready from node_2 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:28 | node_28 | ERROR ] Models ready from node_2 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:28 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 01:22:28 | node_7 | ERROR ] Models ready from node_2 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:28 | node_12 | ERROR ] Models ready from node_2 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:28 | node_18 | ERROR ] Models ready from node_2 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:28 | node_26 | ERROR ] Models ready from node_2 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:28 | node_13 | ERROR ] Models ready from node_2 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:28 | node_14 | ERROR ] Models ready from node_2 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:29 | node_8 | ERROR ] Models ready from node_2 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:29 | node_22 | ERROR ] Models ready from node_2 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:29 | node_24 | ERROR ] Models ready from node_2 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:29 | node_15 | ERROR ] Models ready from node_2 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:29 | node_27 | ERROR ] Models ready from node_2 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:29 | node_29 | ERROR ] Models ready from node_2 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:29 | node_20 | ERROR ] Models ready from node_2 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:30 | node_7 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_6', 'node_1'}
[ 2025-12-19 01:22:30 | node_25 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_26', 'node_24', 'node_12'}
[ 2025-12-19 01:22:30 | node_7 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 01:22:30 | node_12 | ERROR ] Models ready from node_25 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:30 | node_24 | ERROR ] Models ready from node_25 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:30 | node_26 | ERROR ] Models ready from node_25 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:30 | node_25 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 01:22:30 | node_5 | ERROR ] Models ready from node_25 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:30 | node_13 | ERROR ] Models ready from node_25 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:30 | node_18 | ERROR ] Models ready from node_25 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:30 | node_28 | ERROR ] Models ready from node_25 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:30 | node_14 | ERROR ] Models ready from node_25 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:30 | node_27 | ERROR ] Models ready from node_25 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:30 | node_29 | ERROR ] Models ready from node_25 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:31 | node_7 | ERROR ] Models ready from node_25 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:31 | node_16 | ERROR ] Models ready from node_25 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:31 | node_15 | ERROR ] Models ready from node_25 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:31 | node_10 | ERROR ] Models ready from node_25 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:31 | node_8 | ERROR ] Models ready from node_25 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:31 | node_22 | ERROR ] Models ready from node_25 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:31 | node_21 | ERROR ] Models ready from node_25 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:36 | node_19 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_6', 'node_18', 'node_21', 'node_20'}
[ 2025-12-19 01:22:36 | node_18 | ERROR ] Models ready from node_19 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:36 | node_20 | ERROR ] Models ready from node_19 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:36 | node_21 | ERROR ] Models ready from node_19 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:36 | node_19 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 01:22:36 | node_5 | ERROR ] Models ready from node_19 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:36 | node_7 | ERROR ] Models ready from node_19 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:36 | node_15 | ERROR ] Models ready from node_19 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:36 | node_8 | ERROR ] Models ready from node_19 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:36 | node_27 | ERROR ] Models ready from node_19 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:36 | node_10 | ERROR ] Models ready from node_19 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:36 | node_12 | ERROR ] Models ready from node_19 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:37 | node_16 | ERROR ] Models ready from node_19 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:37 | node_22 | ERROR ] Models ready from node_19 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:37 | node_14 | ERROR ] Models ready from node_19 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:37 | node_24 | ERROR ] Models ready from node_19 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:37 | node_26 | ERROR ] Models ready from node_19 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:37 | node_29 | ERROR ] Models ready from node_19 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:42 | node_11 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_27', 'node_21', 'node', 'node_12', 'node_10'}
[ 2025-12-19 01:22:42 | node_10 | ERROR ] Models ready from node_11 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:42 | node_12 | ERROR ] Models ready from node_11 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:42 | node_21 | ERROR ] Models ready from node_11 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:42 | node_27 | ERROR ] Models ready from node_11 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:42 | node_11 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 01:22:42 | node_5 | ERROR ] Models ready from node_11 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:42 | node_17 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_18', 'node_26', 'node_16', 'node_6', 'node_28'}
[ 2025-12-19 01:22:42 | node_13 | ERROR ] Models ready from node_11 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:42 | node_18 | ERROR ] Models ready from node_11 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:42 | node_24 | ERROR ] Models ready from node_11 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:42 | node_28 | ERROR ] Models ready from node_11 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:42 | node_16 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:42 | node_18 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:42 | node_26 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:42 | node_28 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:42 | node_17 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 01:22:42 | node_3 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_18', 'node_26', 'node_4', 'node_16', 'node'}
[ 2025-12-19 01:22:42 | node_16 | ERROR ] Models ready from node_3 in a late round. Ignored. 99 != 98 / 97
