[ 2025-12-14 14:34:24 | node_7 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:24 | node_13 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:24 | node_7 | INFO ] 🎉 Round 184 of 200 finished.
[ 2025-12-14 14:34:24 | node_13 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:24 | node_13 | INFO ] 🚂 Train set of 1 nodes: ['node_13']
[ 2025-12-14 14:34:24 | node_7 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:24 | node_13 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:24 | node_7 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:24 | node_7 | INFO ] 🚂 Train set of 1 nodes: ['node_7']
[ 2025-12-14 14:34:24 | node_7 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:24 | node_4 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 148.3815155029297, 'test_acc\n': 0.8500000238418579, 'test_precision\n': 0.8843064904212952, 'test_recall\n': 0.8406675457954407, 'test_f1\n': 0.8405365943908691}
[ 2025-12-14 14:34:24 | node_4 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:24 | node_4 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:24 | node_45 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:24 | node_45 | INFO ] 🧩 Model added (1/1) from ['node_45']
[ 2025-12-14 14:34:24 | node_45 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:24 | node_45 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:24 | node_45 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:24 | node_45 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:24 | node_45 | INFO ] 🎉 Round 184 of 200 finished.
[ 2025-12-14 14:34:24 | node_45 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:24 | node_45 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:24 | node_45 | INFO ] 🚂 Train set of 1 nodes: ['node_45']
[ 2025-12-14 14:34:24 | node_45 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:24 | node_21 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 55.42731475830078, 'test_acc\n': 0.8650000095367432, 'test_precision\n': 0.8775333166122437, 'test_recall\n': 0.8596283793449402, 'test_f1\n': 0.8602098226547241}
[ 2025-12-14 14:34:24 | node_21 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:24 | node_21 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:24 | node_8 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 102.92498016357422, 'test_acc\n': 0.875, 'test_precision\n': 0.8895237445831299, 'test_recall\n': 0.8672507405281067, 'test_f1\n': 0.8627479076385498}
[ 2025-12-14 14:34:24 | node_8 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:24 | node_8 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:24 | node_38 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:24 | node_38 | INFO ] 🧩 Model added (1/1) from ['node_38']
[ 2025-12-14 14:34:24 | node_38 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:24 | node_38 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:24 | node_38 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:24 | node_38 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:24 | node_38 | INFO ] 🎉 Round 184 of 200 finished.
[ 2025-12-14 14:34:24 | node_38 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:24 | node_38 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:24 | node_38 | INFO ] 🚂 Train set of 1 nodes: ['node_38']
[ 2025-12-14 14:34:24 | node_38 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:24 | node_39 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 33.430423736572266, 'test_acc\n': 0.9049999713897705, 'test_precision\n': 0.8945686221122742, 'test_recall\n': 0.9165357947349548, 'test_f1\n': 0.8988189697265625}
[ 2025-12-14 14:34:24 | node_39 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:24 | node_39 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:25 | node_30 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 153.1865997314453, 'test_acc\n': 0.800000011920929, 'test_precision\n': 0.8673937916755676, 'test_recall\n': 0.8251765370368958, 'test_f1\n': 0.8114879727363586}
[ 2025-12-14 14:34:25 | node_30 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:25 | node_30 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:25 | node_40 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:25 | node_40 | INFO ] 🧩 Model added (1/1) from ['node_40']
[ 2025-12-14 14:34:25 | node_40 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:25 | node_40 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:25 | node_40 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:25 | node_40 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:25 | node_40 | INFO ] 🎉 Round 187 of 200 finished.
[ 2025-12-14 14:34:25 | node_40 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:25 | node_40 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:25 | node_40 | INFO ] 🚂 Train set of 1 nodes: ['node_40']
[ 2025-12-14 14:34:25 | node_40 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:25 | node_27 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:25 | node_27 | INFO ] 🧩 Model added (1/1) from ['node_27']
[ 2025-12-14 14:34:25 | node_27 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:25 | node_27 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:25 | node_34 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 118.13660430908203, 'test_acc\n': 0.8149999976158142, 'test_precision\n': 0.8708038330078125, 'test_recall\n': 0.8308324217796326, 'test_f1\n': 0.8138241767883301}
[ 2025-12-14 14:34:25 | node_34 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:25 | node_34 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:25 | node_27 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:25 | node_27 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:25 | node_27 | INFO ] 🎉 Round 184 of 200 finished.
[ 2025-12-14 14:34:25 | node_27 | INFO ] 🗳️ Sending train set vote.
