[ 2025-12-15 16:08:34 | node_1 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 16:08:36 | node_2 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-15 16:08:36 | node_2 | INFO ] 🚂 Train set of 11 nodes: ['node_6', 'node_5', 'node_2', 'node_46', 'node_47', 'node_49', 'node_3', 'node', 'node_48', 'node_1', 'node_4']
[ 2025-12-15 16:08:36 | node_2 | INFO ] 🔬 Evaluating...
[ 2025-12-15 16:08:36 | node_3 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-15 16:08:36 | node_3 | INFO ] 🚂 Train set of 11 nodes: ['node_6', 'node_5', 'node_2', 'node_46', 'node_47', 'node_49', 'node_3', 'node', 'node_48', 'node_1', 'node_4']
[ 2025-12-15 16:08:36 | node_4 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-15 16:08:36 | node_4 | INFO ] 🚂 Train set of 11 nodes: ['node_6', 'node_5', 'node_2', 'node_46', 'node_47', 'node_49', 'node_3', 'node', 'node_48', 'node_1', 'node_4']
[ 2025-12-15 16:08:36 | node_3 | INFO ] 🔬 Evaluating...
[ 2025-12-15 16:08:36 | node_4 | INFO ] 🔬 Evaluating...
[ 2025-12-15 16:08:36 | node | INFO ] 🔢 Computed 11 votes.
[ 2025-12-15 16:08:36 | node_1 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-15 16:08:36 | node | INFO ] 🚂 Train set of 11 nodes: ['node_6', 'node_5', 'node_2', 'node_46', 'node_47', 'node_49', 'node_3', 'node', 'node_48', 'node_1', 'node_4']
[ 2025-12-15 16:08:36 | node_1 | INFO ] 🚂 Train set of 11 nodes: ['node_6', 'node_5', 'node_2', 'node_46', 'node_47', 'node_49', 'node_3', 'node', 'node_48', 'node_1', 'node_4']
[ 2025-12-15 16:08:36 | node | INFO ] 🔬 Evaluating...
[ 2025-12-15 16:08:36 | node_48 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-15 16:08:36 | node_48 | INFO ] 🚂 Train set of 11 nodes: ['node_6', 'node_5', 'node_2', 'node_46', 'node_47', 'node_49', 'node_3', 'node', 'node_48', 'node_1', 'node_4']
[ 2025-12-15 16:08:36 | node_1 | INFO ] 🔬 Evaluating...
[ 2025-12-15 16:08:36 | node_48 | INFO ] 🔬 Evaluating...
[ 2025-12-15 16:08:36 | node_49 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-15 16:08:36 | node_49 | INFO ] 🚂 Train set of 11 nodes: ['node_6', 'node_5', 'node_2', 'node_46', 'node_47', 'node_49', 'node_3', 'node', 'node_48', 'node_1', 'node_4']
[ 2025-12-15 16:08:36 | node_49 | INFO ] 🔬 Evaluating...
[ 2025-12-15 16:08:37 | node_2 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.6255048513412476, 'test_acc\n': 0.9700000286102295, 'test_precision\n': 0.9649920463562012, 'test_recall\n': 0.9712376594543457, 'test_f1\n': 0.9663441181182861}
[ 2025-12-15 16:08:37 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-15 16:08:37 | node_4 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.7142172455787659, 'test_acc\n': 0.9649999737739563, 'test_precision\n': 0.9663943648338318, 'test_recall\n': 0.9679195880889893, 'test_f1\n': 0.9644834399223328}
[ 2025-12-15 16:08:37 | node_4 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-15 16:08:37 | node | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.694368839263916, 'test_acc\n': 0.9549999833106995, 'test_precision\n': 0.9528743028640747, 'test_recall\n': 0.9525972008705139, 'test_f1\n': 0.9500138759613037}
[ 2025-12-15 16:08:37 | node | INFO ] 📢 Broadcasting metrics.
[ 2025-12-15 16:08:37 | node_3 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.3949410319328308, 'test_acc\n': 0.9750000238418579, 'test_precision\n': 0.9733121991157532, 'test_recall\n': 0.9812482595443726, 'test_f1\n': 0.9755082726478577}
[ 2025-12-15 16:08:37 | node_3 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-15 16:08:37 | node_1 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.27905991673469543, 'test_acc\n': 0.9649999737739563, 'test_precision\n': 0.9574061036109924, 'test_recall\n': 0.9650493860244751, 'test_f1\n': 0.9582589864730835}
[ 2025-12-15 16:08:37 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-15 16:08:37 | node_49 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.4118930399417877, 'test_acc\n': 0.9800000190734863, 'test_precision\n': 0.9831619262695312, 'test_recall\n': 0.9836062788963318, 'test_f1\n': 0.9828642010688782}
[ 2025-12-15 16:08:37 | node_49 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-15 16:08:37 | node_48 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.8850045800209045, 'test_acc\n': 0.9549999833106995, 'test_precision\n': 0.9621568918228149, 'test_recall\n': 0.9540239572525024, 'test_f1\n': 0.9556650519371033}
[ 2025-12-15 16:08:37 | node_48 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-15 16:08:37 | node_4 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-15 16:08:37 | node_2 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-15 16:08:37 | node_3 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-15 16:08:37 | node_48 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-15 16:08:38 | node | INFO ] 🏋️‍♀️ Training...
[ 2025-12-15 16:08:38 | node_49 | INFO ] 🏋️‍♀️ Training...
