[ 2025-12-18 12:49:14 | node | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:15 | node_29 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 12:49:15 | node_2 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:15 | node_12 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:16 | node_10 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:16 | node_9 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 12:49:17 | node_4 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:17 | node_10 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:17 | node_26 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:17 | node | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:17 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:17 | node_22 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:17 | node_4 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:17 | node_12 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:18 | node_11 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:18 | node_11 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:18 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:18 | node_16 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:18 | node_16 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:18 | node_2 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:19 | node_19 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:20 | node_28 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_12', 'node_2'}
[ 2025-12-18 12:49:21 | node_2 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:21 | node_12 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:21 | node_28 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 12:49:21 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:21 | node_16 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:21 | node_26 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:21 | node_10 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:21 | node_19 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:22 | node | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:22 | node_4 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:22 | node_11 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:23 | node_20 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_19', 'node'}
[ 2025-12-18 12:49:24 | node | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:24 | node_19 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:24 | node_20 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 12:49:24 | node_10 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:24 | node_22 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:25 | node_2 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:25 | node_11 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:25 | node_26 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:25 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:25 | node_4 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:29 | node_8 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_10', 'node_22'}
[ 2025-12-18 12:49:31 | node_10 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:31 | node_22 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:31 | node_8 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 12:49:32 | node_7 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_6', 'node_22'}
[ 2025-12-18 12:49:33 | node_2 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:33 | node_11 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:33 | node_19 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:33 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:33 | node_22 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:33 | node_7 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 12:49:33 | node_2 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:33 | node_4 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:33 | node_12 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:33 | node_16 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:33 | node | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:33 | node_10 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:33 | node_4 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:33 | node_26 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:34 | node_12 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:34 | node | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:34 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:34 | node_19 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:39 | node_15 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_10', 'node_6', 'node_16'}
[ 2025-12-18 12:49:39 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:39 | node_10 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:39 | node_16 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:39 | node_15 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 12:49:39 | node_4 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:39 | node_26 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:39 | node | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:39 | node_19 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:39 | node_11 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:40 | node_22 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:40 | node_2 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:40 | node_12 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:44 | node_25 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_12', 'node_26', 'node_11'}
[ 2025-12-18 12:49:44 | node_11 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:44 | node_12 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:44 | node_26 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:44 | node_25 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 12:49:44 | node_13 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_12', 'node_4', 'node_22'}
[ 2025-12-18 12:49:44 | node_23 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_2', 'node_22', 'node'}
[ 2025-12-18 12:49:46 | node_4 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:46 | node_12 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:46 | node_22 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:46 | node | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:46 | node_1 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_2', 'node_4', 'node'}
[ 2025-12-18 12:49:46 | node_13 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 12:49:46 | node_10 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:46 | node_19 | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:46 | node | WARNING ] Models ready received when learning is not running
[ 2025-12-18 12:49:46 | node_14 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_10', 'node_4', 'node_26'}
[ 2025-12-18 12:49:46 | node_18 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_12', 'node_10', 'node_19'}
