[ 2025-12-19 16:56:17 | node_9 | ERROR ] Vote received in a late round. Ignored. 80 != 99 / 100
[ 2025-12-19 16:56:17 | node_26 | ERROR ] Vote received in a late round. Ignored. 80 != 99 / 100
[ 2025-12-19 16:56:17 | node_28 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:17 | node_16 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:17 | node_18 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:17 | node_3 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:17 | node_6 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:17 | node_9 | ERROR ] Vote received in a late round. Ignored. 80 != 99 / 100
[ 2025-12-19 16:56:17 | node_26 | ERROR ] Vote received in a late round. Ignored. 80 != 99 / 100
[ 2025-12-19 16:56:17 | node_28 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:19 | node_16 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:19 | node_18 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:19 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:19 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:19 | node_9 | ERROR ] Models ready from node_27 in a late round. Ignored. 72 != 99 / 98
[ 2025-12-19 16:56:19 | node_26 | ERROR ] Models ready from node_27 in a late round. Ignored. 72 != 99 / 98
[ 2025-12-19 16:56:19 | node_28 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:19 | node_16 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:19 | node_18 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:19 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:19 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:19 | node_9 | ERROR ] Models ready from node_14 in a late round. Ignored. 72 != 99 / 98
[ 2025-12-19 16:56:19 | node_26 | ERROR ] Models ready from node_14 in a late round. Ignored. 72 != 99 / 98
[ 2025-12-19 16:56:19 | node_28 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:19 | node_16 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:19 | node_18 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:19 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:19 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:19 | node_9 | ERROR ] Models ready from node_25 in a late round. Ignored. 72 != 99 / 98
[ 2025-12-19 16:56:19 | node_26 | ERROR ] Models ready from node_25 in a late round. Ignored. 72 != 99 / 98
[ 2025-12-19 16:56:19 | node_28 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:19 | node_16 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:19 | node_18 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:19 | node_3 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:19 | node_6 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:19 | node_9 | ERROR ] Vote received in a late round. Ignored. 73 != 99 / 100
[ 2025-12-19 16:56:19 | node_26 | ERROR ] Vote received in a late round. Ignored. 73 != 99 / 100
[ 2025-12-19 16:56:19 | node_28 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:19 | node_16 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:19 | node_18 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:19 | node_3 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:19 | node_6 | ERROR ] Vote received when learning is not running
