[ 2025-12-19 08:58:21 | node_25 | INFO ] Timeout for vote aggregation. Missing votes from {'node_17', 'node_16', 'node_6', 'node_13', 'node_3', 'node_26', 'node_21', 'node_20', 'node_12', 'node_28', 'node_19'}
[ 2025-12-19 08:58:21 | node_25 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-19 08:58:21 | node_25 | INFO ] 🚂 Train set of 21 nodes: ['node_21', 'node_28', 'node_13', 'node_25', 'node_3', 'node_26', 'node_12', 'node_20', 'node_18', 'node_11', 'node_5', 'node_16', 'node_6', 'node_17', 'node_19', 'node', 'node_24', 'node_15', 'node_2', 'node_1', 'node_4']
[ 2025-12-19 08:58:21 | node_25 | INFO ] 🔬 Evaluating...
[ 2025-12-19 08:58:21 | node_24 | ERROR ] Models ready from node_3 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:21 | node_25 | ERROR ] Models ready from node_3 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:21 | node_13 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:22 | node_25 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 6.06350040435791, 'test_acc\n': 0.8394160866737366, 'test_precision\n': 0.5578194260597229, 'test_recall\n': 0.4916204810142517, 'test_f1\n': 0.5000752210617065}
[ 2025-12-19 08:58:22 | node_25 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 08:58:22 | node_25 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 08:58:22 | node_25 | INFO ] 🎓 Training done.
[ 2025-12-19 08:58:22 | node_25 | INFO ] 🧩 Model added (1/3) from ['node_25']
[ 2025-12-19 08:58:24 | node_29 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2025-12-19 08:58:24 | node_29 | INFO ] 🎉 Round 95 of 100 finished.
[ 2025-12-19 08:58:24 | node_29 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 08:58:24 | node_26 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:24 | node_27 | ERROR ] Vote received in a late round. Ignored. 95 != 96 / 97
[ 2025-12-19 08:58:24 | node_1 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:24 | node_3 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:24 | node_23 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:27 | node_25 | INFO ] 📤 Sending model to 2 direct neighbors: ['node_12', 'node_24']
[ 2025-12-19 08:58:30 | node_6 | INFO ] Timeout for vote aggregation. Missing votes from {'node_17', 'node_16', 'node_3', 'node_26', 'node_9', 'node_12', 'node_15', 'node_21', 'node_23', 'node_1', 'node_28', 'node_14'}
[ 2025-12-19 08:58:30 | node_6 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-19 08:58:30 | node_6 | INFO ] 🚂 Train set of 24 nodes: ['node_6', 'node_25', 'node_3', 'node_21', 'node_20', 'node_17', 'node_14', 'node_11', 'node_23', 'node_29', 'node_26', 'node_24', 'node_16', 'node_19', 'node_1', 'node_4', 'node_10', 'node_18', 'node_28', 'node', 'node_12', 'node_9', 'node_15', 'node_22']
[ 2025-12-19 08:58:30 | node_6 | INFO ] 🔬 Evaluating...
[ 2025-12-19 08:58:31 | node_6 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.7362534999847412, 'test_acc\n': 0.8376068472862244, 'test_precision\n': 0.5989753007888794, 'test_recall\n': 0.6041072010993958, 'test_f1\n': 0.5726906061172485}
[ 2025-12-19 08:58:31 | node_6 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 08:58:31 | node_6 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 08:58:31 | node_6 | INFO ] 🎓 Training done.
[ 2025-12-19 08:58:31 | node_13 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2025-12-19 08:58:31 | node_6 | INFO ] 🧩 Model added (1/5) from ['node_6']
[ 2025-12-19 08:58:31 | node_13 | INFO ] 🎉 Round 94 of 100 finished.
[ 2025-12-19 08:58:31 | node_13 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 08:58:31 | node_22 | ERROR ] Vote received in a late round. Ignored. 94 != 95 / 96
[ 2025-12-19 08:58:32 | node_5 | ERROR ] Vote received in a late round. Ignored. 94 != 95 / 96
[ 2025-12-19 08:58:32 | node_11 | ERROR ] Vote received in a late round. Ignored. 94 != 95 / 96
[ 2025-12-19 08:58:32 | node_18 | ERROR ] Vote received in a late round. Ignored. 94 != 95 / 96
[ 2025-12-19 08:58:32 | node_24 | ERROR ] Vote received in a late round. Ignored. 94 != 95 / 96
[ 2025-12-19 08:58:32 | node_25 | ERROR ] Vote received in a late round. Ignored. 94 != 95 / 96
[ 2025-12-19 08:58:32 | node_19 | ERROR ] Vote received in a late round. Ignored. 94 != 95 / 96
[ 2025-12-19 08:58:36 | node_6 | INFO ] 📤 Sending model to 4 direct neighbors: ['node', 'node_15', 'node_17', 'node_19']
[ 2025-12-19 08:58:42 | node_10 | INFO ] Timeout for vote aggregation. Missing votes from {'node_16', 'node_8', 'node_9', 'node_15', 'node_23', 'node_1', 'node_14'}
[ 2025-12-19 08:58:42 | node_10 | INFO ] 🔢 Computed 7 votes.
[ 2025-12-19 08:58:42 | node_10 | INFO ] 🚂 Train set of 20 nodes: ['node_20', 'node_14', 'node_17', 'node_9', 'node_23', 'node_1', 'node_10', 'node_8', 'node_24', 'node_7', 'node_16', 'node_22', 'node_19', 'node_5', 'node_11', 'node_15', 'node_6', 'node_18', 'node_12', 'node_4']
[ 2025-12-19 08:58:42 | node_10 | INFO ] 🔬 Evaluating...
