[ 2025-12-14 06:42:43 | node_10 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 184.42892456054688, 'test_acc\n': 0.4650000035762787, 'test_precision\n': 0.7856278419494629, 'test_recall\n': 0.4733828008174896, 'test_f1\n': 0.5106436014175415}
[ 2025-12-14 06:42:43 | node_45 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:43 | node_10 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:43 | node_45 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:43 | node_10 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:43 | node_7 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 06:42:43 | node_7 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:43 | node_7 | INFO ] 🎉 Round 94 of 100 finished.
[ 2025-12-14 06:42:43 | node_7 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 06:42:43 | node_7 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 06:42:43 | node_7 | INFO ] 🚂 Train set of 1 nodes: ['node_7']
[ 2025-12-14 06:42:43 | node_7 | INFO ] 🔬 Evaluating...
[ 2025-12-14 06:42:43 | node_12 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 122.66799926757812, 'test_acc\n': 0.7149999737739563, 'test_precision\n': 0.7212066054344177, 'test_recall\n': 0.6709358096122742, 'test_f1\n': 0.6306394934654236}
[ 2025-12-14 06:42:43 | node_12 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:43 | node_12 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:43 | node_38 | INFO ] 🎓 Training done.
[ 2025-12-14 06:42:43 | node_38 | INFO ] 🧩 Model added (1/1) from ['node_38']
[ 2025-12-14 06:42:43 | node_38 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:43 | node_38 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 06:42:43 | node_23 | INFO ] 🎓 Training done.
[ 2025-12-14 06:42:43 | node_23 | INFO ] 🧩 Model added (1/1) from ['node_23']
[ 2025-12-14 06:42:43 | node_23 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:43 | node_23 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 06:42:43 | node_20 | INFO ] 🎓 Training done.
[ 2025-12-14 06:42:43 | node_20 | INFO ] 🧩 Model added (1/1) from ['node_20']
[ 2025-12-14 06:42:43 | node_20 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:43 | node_38 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 06:42:44 | node_20 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 06:42:44 | node_38 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:44 | node_38 | INFO ] 🎉 Round 77 of 100 finished.
[ 2025-12-14 06:42:44 | node_23 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 06:42:44 | node_23 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:44 | node_38 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 06:42:44 | node_38 | INFO ] 🔢 Computed 1 votes.
