[ 2025-12-17 01:13:13 | node_47 | INFO ] 🧩 Model added (4/6) from ['node_49']
[ 2025-12-17 01:13:13 | node_4 | INFO ] 🧩 Model added (4/7) from ['node_3']
[ 2025-12-17 01:13:13 | node_48 | INFO ] 🧩 Model added (3/7) from ['node_49']
[ 2025-12-17 01:13:13 | node_5 | INFO ] 🧩 Model added (3/6) from ['node_3']
[ 2025-12-17 01:13:13 | node_6 | INFO ] 🧩 Model added (3/5) from ['node_3']
[ 2025-12-17 01:13:13 | node_3 | INFO ] 🧩 Model added (3/8) from ['node_49']
[ 2025-12-17 01:13:13 | node_49 | INFO ] 🧩 Model added (4/8) from ['node_3']
[ 2025-12-17 01:13:14 | node_4 | INFO ] 📤 Sending model to 6 direct neighbors: ['node', 'node_1', 'node_2', 'node_3', 'node_5', 'node_6']
[ 2025-12-17 01:13:14 | node_3 | INFO ] 🧩 Model added (4/8) from ['node_4']
[ 2025-12-17 01:13:14 | node_5 | INFO ] 🧩 Model added (4/6) from ['node_4']
[ 2025-12-17 01:13:14 | node_6 | INFO ] 🧩 Model added (4/5) from ['node_4']
[ 2025-12-17 01:17:19 | node | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_48', 'node_3', 'node_4', 'node_49', 'node_47', 'node_46'}
[ 2025-12-17 01:17:19 | node_3 | ERROR ] Models ready from node in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node_4 | ERROR ] Models ready from node in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node_46 | ERROR ] Models ready from node in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node_47 | ERROR ] Models ready from node in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node_48 | ERROR ] Models ready from node in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node_49 | ERROR ] Models ready from node in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-17 01:17:19 | node_1 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_5', 'node_48', 'node_3', 'node_4', 'node_49', 'node_47'}
[ 2025-12-17 01:17:19 | node_2 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_5', 'node_48', 'node_3', 'node_4', 'node_49', 'node_6'}
[ 2025-12-17 01:17:19 | node_3 | ERROR ] Models ready from node_1 in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node_4 | ERROR ] Models ready from node_1 in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node_5 | ERROR ] Models ready from node_1 in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node_3 | ERROR ] Models ready from node_2 in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node_47 | ERROR ] Models ready from node_1 in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node_4 | ERROR ] Models ready from node_2 in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node_48 | ERROR ] Models ready from node_1 in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node_5 | ERROR ] Models ready from node_2 in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node_49 | ERROR ] Models ready from node_1 in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node_6 | ERROR ] Models ready from node_2 in a late round. Ignored. 75 != 74 / 73
[ 2025-12-17 01:17:19 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
